Ionic Liquid,Cation,Anion,Biomass Source,Temperature (°C),Time (min),Solid Loading (%),Kamlet Taft (α),Kamlet Taft (β),CLogP,Viscosity (η/ mPa·s) @298.15K,pKa,Conductivity (S/m),cation_molecular_weight,cation_n_carbons,cation_nitrogen_count,anion_molecular_weight,anion_oxygen_count,anion_hydrogen_bonding,lignin_removal
[amim][Cl],1-allyl-3-methylimidazolium,chloride,Southern pine,120,300,5,0.75,0.65,-3.083,66,22.5,0.928,110.15,5,1,35.45,0,1,17
[amim][Cl],1-allyl-3-methylimidazolium,chloride,Norway spruce TMP,120,300,5,0.75,0.65,-3.083,66,22.5,0.928,110.15,5,1,35.45,0,1,21
[amim][Cl],1-allyl-3-methylimidazolium,chloride,Dawn redwood,90,30,15,0.75,0.65,-3.083,66,22.5,0.928,110.15,5,1,35.45,0,1,48
[Amim][Cl],1-allyl-3-methylimidazolium,chloride,Pine wood,120,60,5,0.89,0.59,-3.083,66,22.5,0.928,111.16,6,2,35.45,0,1,55
[amim][Cl]/DMSO,1-allyl-3-methylimidazolium,chloride,Southern Yellow Pine,110,960,5,0.75,1.28,-3.083,16.2,23.5,0.0624,110.15,5,2,35.45,0,1,70
[amim][Cl]/DMSO,1-allyl-3-methylimidazolium,chloride,Southern Yellow Pine,110,960,8,0.75,1.28,-3.083,16.2,23.5,0.0624,110.15,5,2,35.45,0,1,26.1
[amim][Cl]/DMSO,1-allyl-3-methylimidazolium,chloride,Pine,100,900,15,0.75,1.28,-3.083,16.2,23.5,0.0624,110.15,5,2,35.45,0,1,48.4
[amim][Cl]/DMSO,1-allyl-3-methylimidazolium,chloride,Pine,100,180,5,0.75,1.28,-3.083,16.2,23.5,0.0624,110.15,5,2,35.45,0,1,71
[BMIM][Br],1-butyl-3-methylimidazolium,bromide,Southern Pine,124,200,9,0.05,0.85,-1.6,3500,22,0.0339,139.21,8,2,79.9,0,0,85
[BMIM][Br],1-butyl-3-methylimidazolium,bromide,Norway spruce,180,60,5,0.36,0.87,-1.6,3500,22,0.0339,139.21,8,2,79.9,0,0,58.4
[BMIM][Cl],1-butyl-3-methylimidazolium,chloride,Sugar pine,170,180,10,0.64,0.83,-1.44,11000,23.8,0.46,139.21,8,2,35.45,0,0,56.8
[BMIM][Cl],1-butyl-3-methylimidazolium,chloride,Loblolly Pine Wood,150,30,5,0.64,0.83,-1.44,11000,23.8,0.46,139.21,8,2,35.45,0,0,68.4
[BMIM][Cl],1-butyl-3-methylimidazolium,chloride,Southern Yellow Pine (wood flour),130,480,8,0.64,0.83,-1.44,11000,23.8,0.46,139.21,8,2,35.45,0,0,21
[BMIM][Cl],1-butyl-3-methylimidazolium,chloride,Dawn redwood,90,30,15,0.64,0.83,-1.44,11000,23.8,0.46,139.21,8,2,35.45,0,0,97.3
[BMIM][Cl],1-butyl-3-methylimidazolium,chloride,Scots pine,100,180,20,0.64,0.83,-1.44,11000,23.8,0.46,139.21,8,2,35.45,0,0,38.2
[BMIM][HSO4],1-butyl-3-methylimidazolium,hydrogen sulfate,Eastern white pine,150,45,10,0.32,0.95,-2.27,330,5.81,0.052,139.21,8,2,97.07,0,1,87.7
